Longitude,Latitude,Height,VelocityN,VelocityE,VelocityD
116.3199601,40.0084855,27049.0,-2.0,-1160.0,53.0
116.3199565,40.0084859,27237.0,84.0,-1283.0,-18.0
116.319953,40.0084857,27244.0,-70.0,-1196.0,3.0
116.3199495,40.0084854,27314.0,-151.0,-1220.0,-18.0
116.319946,40.0084851,27297.0,-145.0,-1199.0,11.0
116.3199425,40.0084849,27220.0,-62.0,-1189.0,35.0
116.319939,40.0084846,27280.0,-126.0,-1188.0,21.0
116.3199354,40.0084846,27341.0,-85.0,-1245.0,19.0
116.319932,40.0084841,27313.0,-98.0,-1176.0,14.0
116.3199288,40.0084844,27364.0,-44.0,-1091.0,25.0
116.3199257,40.0084843,27415.0,7.0,-1110.0,-14.0
116.319922,40.0084843,27460.0,-125.0,-1187.0,21.0
116.3199187,40.0084842,27592.0,-135.0,-1170.0,-7.0
116.3199156,40.0084839,27590.0,-143.0,-1079.0,10.0
116.3199119,40.008484,27612.0,34.0,-1235.0,-10.0
116.3199085,40.0084835,27592.0,-109.0,-1177.0,-5.0
116.3199046,40.0084832,27580.0,-108.0,-1325.0,-11.0
116.3199011,40.008483,27500.0,-56.0,-1232.0,6.0
116.3198976,40.0084835,27643.0,43.0,-1197.0,-7.0
116.3198943,40.0084833,27679.0,-69.0,-1147.0,-10.0
116.3198906,40.0084834,27746.0,-84.0,-1275.0,-12.0
116.3198876,40.008483,27713.0,-90.0,-1030.0,-31.0
116.3198844,40.0084829,27662.0,-154.0,-1085.0,23.0
116.3198809,40.0084827,27658.0,-80.0,-1160.0,18.0
116.3198774,40.0084825,27721.0,-152.0,-1223.0,16.0
116.319874,40.0084822,27777.0,-120.0,-1200.0,-15.0
116.3198707,40.0084816,27661.0,-142.0,-1144.0,12.0
116.3198674,40.0084817,27713.0,-19.0,-1157.0,1.0
116.3198641,40.0084817,27685.0,13.0,-1148.0,13.0
116.3198606,40.0084817,27742.0,-110.0,-1172.0,39.0
116.3198576,40.0084812,27705.0,-74.0,-1073.0,21.0
116.3198542,40.0084813,27670.0,-33.0,-1170.0,53.0
116.3198509,40.0084811,27730.0,-27.0,-1157.0,25.0
116.3198478,40.0084808,27743.0,-114.0,-1098.0,31.0
116.3198447,40.0084804,27798.0,-186.0,-1091.0,28.0
116.3198415,40.0084804,27833.0,-168.0,-1090.0,49.0
116.3198384,40.0084798,27624.0,-84.0,-1078.0,87.0
116.319835,40.0084798,27749.0,-44.0,-1207.0,37.0
116.3198319,40.0084793,27740.0,-185.0,-1049.0,53.0
116.3198288,40.0084789,27716.0,-130.0,-1086.0,39.0
116.3198253,40.0084789,27779.0,-147.0,-1163.0,53.0
116.3198221,40.0084784,27861.0,-186.0,-1139.0,21.0
116.3198186,40.008478,27764.0,-144.0,-1177.0,63.0
116.3198152,40.0084773,27879.0,-260.0,-1172.0,11.0
116.3198117,40.008477,27908.0,-213.0,-1210.0,26.0
116.3198081,40.0084769,27950.0,-135.0,-1232.0,24.0
116.3198048,40.0084767,28053.0,-135.0,-1154.0,-9.0
116.3198011,40.0084764,27974.0,-186.0,-1238.0,49.0
116.3197975,40.0084762,27992.0,-109.0,-1229.0,34.0
116.3197939,40.0084763,28001.0,-45.0,-1233.0,51.0
116.3197903,40.008476,28155.0,-113.0,-1242.0,-3.0
116.3197865,40.0084762,28158.0,-15.0,-1279.0,30.0
116.3197828,40.0084757,28165.0,-162.0,-1254.0,19.0
116.3197791,40.0084761,28230.0,-30.0,-1270.0,50.0
116.3197756,40.0084762,28326.0,-3.0,-1223.0,7.0
116.3197718,40.008476,28223.0,-50.0,-1270.0,46.0
116.3197683,40.0084753,28238.0,-219.0,-1205.0,37.0
116.3197649,40.0084752,28221.0,-81.0,-1184.0,38.0
116.3197611,40.0084751,28259.0,-62.0,-1297.0,39.0
116.3197577,40.0084752,28299.0,12.0,-1206.0,25.0
116.3197538,40.0084753,28316.0,-66.0,-1321.0,54.0
116.31975,40.008475,28268.0,-11.0,-1322.0,35.0
116.3197465,40.0084752,28324.0,27.0,-1231.0,33.0
116.3197428,40.0084748,28428.0,-94.0,-1280.0,-21.0
116.3197389,40.0084749,28272.0,-17.0,-1294.0,63.0
116.3197354,40.0084745,28338.0,-135.0,-1232.0,38.0
116.3197316,40.0084742,28293.0,-121.0,-1300.0,70.0
116.319728,40.0084746,28390.0,63.0,-1249.0,41.0
116.3197243,40.0084744,28385.0,-42.0,-1277.0,32.0
116.3197206,40.0084741,28410.0,-125.0,-1252.0,30.0
116.3197169,40.0084739,28367.0,-142.0,-1256.0,66.0
116.3197134,40.0084737,28323.0,-121.0,-1196.0,93.0
