Gyr_X,Gyr_Y,Gyr_Z
-0.000562,1.1e-05,0.004474
0.00155,-0.002153,0.00462
-0.000228,0.003537,0.003611
0.002626,0.000272,0.003126
0.000995,0.001033,0.003973
0.003742,-0.001048,-0.000237
0.004218,-0.001095,0.003468
0.004531,0.000536,0.003143
0.003377,0.003331,0.002541
-3.1e-05,-2.5e-05,0.003148
0.00352,-0.002265,0.004851
-0.001399,0.002579,0.0022
0.001741,-3.7e-05,0.006051
0.000603,0.001571,0.002996
0.002985,-0.000796,0.004496
0.00037,0.002513,0.003066
0.000455,0.002565,0.000855
0.000899,0.00234,0.003009
0.00286,0.000455,0.001905
0.003799,-0.000973,0.003441
0.00428,0.00025,0.002702
0.002544,0.002072,0.003222
0.00112,0.003194,0.00167
0.003173,0.002614,0.005924
0.003075,-0.002122,0.00613
0.003204,-0.000608,0.007574
0.002151,0.000443,0.004914
0.001238,-0.001405,0.002158
0.000698,9.5e-05,0.004607
0.000823,0.000312,0.002568
0.001689,0.003446,0.001376
0.002057,-0.000715,0.002822
0.004727,-0.000304,0.003987
-7e-05,0.003155,0.001606
-0.002304,0.003726,0.002176
0.001574,0.002273,0.000954
-0.000331,0.001105,0.007283
0.001431,-0.00212,0.00309
0.002312,0.005937,0.002391
-0.00184,0.001591,0.002962
0.002625,0.000849,0.007416
0.003291,0.000953,0.002579
0.002327,0.00058,-0.000425
0.003479,0.00421,0.003356
-0.000259,-0.002509,0.004325
0.000405,-0.002679,0.002625
0.000889,-0.00046,0.003473
0.001257,-0.001124,0.00317
0.003199,0.002704,0.006589
0.003985,0.002366,0.003053
0.000707,0.005319,0.002376
0.001746,0.002376,0.000647
-0.000504,0.000723,0.003655
0.000917,0.001451,0.004106
0.000975,0.00054,0.006127
0.001543,0.00165,0.005224
0.005344,0.002191,0.003318
-0.00343,0.000342,0.004318
0.003422,0.00155,-0.000399
0.001851,0.004711,4.7e-05
0.003985,-0.000276,0.002149
0.000744,0.002604,0.003492
0.004794,0.003152,0.004063
-0.000353,-0.001368,0.003696
0.000335,0.000352,0.003428
0.001203,0.001846,0.002623
0.000546,-0.00079,0.002839
0.002285,0.004712,0.005499
0.000887,0.004054,0.000287
0.002959,0.007228,0.003875
0.004677,-0.000259,0.002278
0.000732,0.002124,0.003853
0.001972,0.001689,-0.000106
0.002504,0.000142,0.004157
0.000957,0.000324,0.00312
-0.00139,0.001846,0.000576
0.001376,-0.000939,0.001756
0.000568,0.004201,0.005708
0.00116,0.000603,0.003133
0.001574,-0.000839,0.004662
0.002017,0.000682,0.004558
0.002461,-0.001568,0.00787
0.004507,-0.000709,0.00331
-0.002606,0.001962,0.00347
0.001099,-0.003693,0.003432
0.003176,0.002501,0.001628
0.003956,0.003079,-0.000179
0.002053,0.000753,0.00444
0.000928,-0.001085,0.003811
0.002425,0.000744,0.002847
0.001671,0.002661,0.004435
-0.000528,-1.3e-05,0.000869
0.001781,0.003796,0.003313
-0.000238,0.004164,0.004151
0.001276,0.001747,0.001746
0.00328,0.003699,0.00133
0.002105,-0.000352,0.000221
0.002854,0.002997,0.003503
0.000579,0.003571,0.002005
0.001963,0.000646,0.00307
0.001555,0.001148,0.002921
0.000273,0.000674,0.002078
0.001522,-0.002003,0.005413
0.002014,0.002231,0.002254
0.002182,0.000984,0.001418
0.000628,-0.000259,0.001673
0.003218,0.002003,0.001495
0.001542,0.002118,0.003066
0.005383,-0.000216,0.00043
0.001653,0.000361,0.005416
0.001217,0.00392,0.000819
0.002075,-0.001024,0.002881
0.000467,-0.001921,0.002349
-0.000387,0.001531,0.004335
7.4e-05,0.003097,0.005286
0.003455,-0.00179,0.005224
0.002579,0.002327,0.000822
0.002738,0.001506,0.001764
9.8e-05,0.004008,0.003662
0.000855,-0.002839,0.000779
0.003453,-0.001411,0.003821
0.000725,0.000573,0.003188
