PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
03852,8615164,-0.142167,-0.154849,9.856941,0.004119,-0.004101,0.005632
03853,8615189,-0.060662,-0.152672,9.773588,0.000916,0.000598,0.002780
03854,8615214,-0.121789,-0.164861,9.770871,0.004361,0.000314,0.002404
03855,8615239,-0.110775,-0.169910,9.812236,0.000878,0.002436,0.000019
03856,8615264,-0.110247,-0.129332,9.815454,0.000801,0.004085,0.000878
03857,8615289,-0.114446,-0.123579,9.820534,0.003280,-0.001623,0.006270
03858,8615314,-0.154664,-0.150171,9.821796,0.000689,0.002018,0.002780
03859,8615339,-0.131723,-0.177308,9.802794,0.000284,0.001626,0.001431
03860,8615364,-0.132954,-0.150804,9.809471,-0.000380,-0.004917,0.003486
03861,8615389,-0.103279,-0.149215,9.838843,-0.003006,-0.000325,0.001169
03862,8615414,-0.116960,-0.145742,9.826518,0.006036,-0.000736,0.002528
03863,8615439,-0.144573,-0.137934,9.812761,0.001203,-0.000353,0.000700
03864,8615464,-0.098713,-0.150472,9.791995,0.001412,-0.001417,0.004973
03865,8615489,-0.135047,-0.148403,9.815002,-0.001016,-0.001496,0.005377
03866,8615514,-0.149626,-0.162404,9.797145,0.004416,0.001431,0.003534
03867,8615539,-0.116929,-0.153787,9.798050,0.001340,0.002585,0.002942
03868,8615564,-0.124077,-0.140491,9.827948,0.000735,-0.001675,0.002705
03869,8615589,-0.129772,-0.138759,9.823442,0.001969,-0.001940,0.002073
03870,8615614,-0.121688,-0.131058,9.819770,0.001984,0.003742,0.003026
03871,8615639,-0.148221,-0.150811,9.866071,-0.000937,-0.002271,0.003339
03872,8615664,-0.134484,-0.147535,9.849262,-0.002076,-0.002567,0.000001
03873,8615689,-0.126607,-0.150995,9.790540,-0.000371,-0.001425,0.002979
03874,8615714,-0.103307,-0.163392,9.798503,-0.000308,0.000005,0.003109
03875,8615739,-0.123824,-0.153685,9.800673,-0.000077,-0.002836,0.003024
03876,8615764,-0.091830,-0.180308,9.770441,0.000637,-0.000714,-0.001311
03877,8615789,-0.096056,-0.146180,9.791685,0.003388,0.001658,0.003373
03878,8615814,-0.113805,-0.132401,9.804536,0.003261,-0.003244,0.001132
03879,8615839,-0.116894,-0.113651,9.876872,0.000200,-0.004132,0.004392
03880,8615864,-0.104196,-0.125330,9.797645,0.000498,-0.001456,0.004128
03881,8615889,-0.140977,-0.166825,9.810495,-0.000317,-0.000092,0.003731
03882,8615914,-0.096326,-0.163081,9.773326,0.001734,-0.001626,0.003109
03883,8615939,-0.111165,-0.181947,9.758425,0.001162,0.003073,0.002512
03884,8615964,-0.153901,-0.157969,9.824969,0.008301,0.000127,0.003568
03885,8615989,-0.112582,-0.167914,9.789302,0.008091,-0.000042,0.005106
03886,8616014,-0.116851,-0.134363,9.795617,0.000723,0.005963,0.003194
03887,8616039,-0.137298,-0.132895,9.823275,0.001844,-0.000612,0.003108
