Gyr_X,Gyr_Y,Gyr_Z
-0.002807,-0.011957,0.0786
-0.001347,-0.00907,0.081489
-0.001709,-0.012736,0.081602
0.002296,-0.01189,0.083265
0.003087,-0.015463,0.083903
0.004811,-0.013945,0.085906
0.004546,-0.016634,0.08925
0.009083,-0.014064,0.087751
0.009792,-0.012037,0.090172
0.009794,-0.011906,0.092643
0.010378,-0.015682,0.095006
0.012084,-0.011301,0.090653
0.013726,-0.013183,0.093149
0.012024,-0.013743,0.096684
0.016182,-0.009851,0.092337
0.013793,-0.004904,0.093093
0.015368,-0.005674,0.090059
0.016677,-0.005436,0.094686
0.017788,0.000791,0.094267
0.020938,-0.001535,0.092953
0.017267,0.003586,0.094316
0.017665,0.004377,0.092279
0.015842,0.004896,0.092933
0.017286,0.00991,0.091212
0.014059,0.00769,0.091641
0.01324,0.006614,0.095011
0.014635,0.015055,0.094832
0.013066,0.017408,0.092306
0.011738,0.015966,0.091375
0.008275,0.010436,0.092515
0.014152,0.013001,0.091117
0.016678,0.014233,0.092112
0.014902,0.01289,0.090589
0.014766,0.013099,0.094955
0.01119,0.006806,0.0915
0.013805,0.004516,0.089891
0.014245,0.006501,0.092613
0.019211,0.01099,0.094343
0.015519,0.007229,0.0914
0.01421,-0.003156,0.089436
0.01701,-0.002958,0.092488
0.017434,-0.001886,0.089026
0.016934,0.005624,0.090434
0.01547,0.00614,0.087882
0.018506,-0.000916,0.088089
0.019398,0.00108,0.084964
0.016541,-0.004983,0.083259
0.022521,-0.000289,0.082295
0.015748,-0.000347,0.083483
0.018828,-0.002177,0.08428
0.021908,-0.006287,0.083873
0.01941,-0.006182,0.081936
0.016353,-0.005639,0.085489
0.018682,-0.010563,0.0834
0.021722,-0.009181,0.080695
0.01946,-0.014603,0.083747
0.021254,-0.018412,0.080552
0.023497,-0.018741,0.0824
0.018705,-0.023766,0.084337
0.018794,-0.024284,0.082634
0.019082,-0.031202,0.083957
0.018459,-0.028981,0.08496
0.016145,-0.033146,0.085504
0.012384,-0.031787,0.085565
0.01192,-0.033428,0.084753
0.012506,-0.032988,0.08793
0.006566,-0.035448,0.087198
0.006492,-0.037031,0.091299
0.004711,-0.033391,0.087201
0.003161,-0.032878,0.091811
-0.000413,-0.030634,0.086995
0.003073,-0.028561,0.086833
-0.000151,-0.033577,0.087599
-0.001186,-0.025025,0.086371
-0.004566,-0.025851,0.087925
-0.005688,-0.025073,0.087062
-0.007086,-0.024253,0.088511
-0.009838,-0.020191,0.086867
-0.009626,-0.020762,0.083452
-0.007097,-0.016972,0.085369
-0.01435,-0.014697,0.085389
-0.014286,-0.017762,0.081878
-0.012219,-0.015822,0.085019
-0.01545,-0.015765,0.085159
-0.015028,-0.018819,0.087944
-0.014646,-0.019081,0.083298
-0.013518,-0.018093,0.083483
-0.01979,-0.018139,0.081668
-0.017339,-0.018074,0.08039
-0.014944,-0.023404,0.084237
-0.017318,-0.022663,0.082495
-0.017238,-0.024034,0.081088
-0.016709,-0.024003,0.083881
-0.0186,-0.024858,0.085678
-0.016555,-0.025377,0.0867
-0.020355,-0.026257,0.086199
-0.023027,-0.030053,0.090062
-0.022452,-0.028071,0.088147
-0.026159,-0.030097,0.091349
-0.02729,-0.030904,0.091399
-0.0324,-0.028574,0.094027
-0.037052,-0.031903,0.093778
-0.042059,-0.029925,0.093726
-0.043602,-0.027956,0.098247
-0.045283,-0.029732,0.095294
-0.05037,-0.028224,0.098401
-0.050135,-0.025885,0.098922
-0.052594,-0.02725,0.101393
-0.054923,-0.031312,0.097016
-0.060599,-0.027813,0.102306
-0.063343,-0.031362,0.103676
-0.067842,-0.027935,0.100677
-0.06721,-0.02557,0.102701
-0.07301,-0.033484,0.104367
-0.075413,-0.029099,0.105708
-0.076371,-0.028107,0.10413
-0.077765,-0.030312,0.105082
-0.08146,-0.03304,0.106906
-0.082138,-0.033249,0.108577
-0.082116,-0.034066,0.108079
-0.085264,-0.029707,0.108496
-0.084716,-0.035326,0.109562
-0.089985,-0.038692,0.11057
-0.092153,-0.039287,0.113571
-0.08806,-0.040969,0.111265
-0.095466,-0.043459,0.111497
-0.094891,-0.051294,0.116212
-0.100657,-0.047851,0.118767
-0.102375,-0.05181,0.119767
-0.09971,-0.050987,0.120754
-0.103436,-0.050183,0.123217
-0.104557,-0.050762,0.130335
-0.108543,-0.054321,0.133381
-0.104101,-0.055254,0.134531
-0.106017,-0.05552,0.135065
-0.105047,-0.0604,0.137403
-0.108013,-0.064188,0.138643
-0.106657,-0.065824,0.144408
-0.108728,-0.070241,0.14319
-0.106645,-0.072016,0.146656
-0.107835,-0.072187,0.151945
-0.107157,-0.077023,0.156208
-0.103372,-0.076674,0.158951
-0.103766,-0.082105,0.157129
-0.101815,-0.084113,0.164073
-0.103885,-0.087401,0.168151
-0.101645,-0.089802,0.174467
-0.098965,-0.093505,0.174179
-0.09712,-0.097695,0.180591
-0.098605,-0.100197,0.184383
-0.09747,-0.095646,0.183675
-0.091843,-0.107177,0.195748
-0.093934,-0.105435,0.194033
-0.088735,-0.109679,0.199857
-0.092249,-0.109625,0.203299
-0.086138,-0.117184,0.213148
-0.086053,-0.121957,0.211958
-0.085042,-0.124776,0.216661
-0.083785,-0.128421,0.215682
-0.081871,-0.123233,0.220805
-0.077751,-0.125849,0.226209
-0.081654,-0.128782,0.231176
-0.076757,-0.127913,0.230753
-0.070366,-0.123911,0.234859
-0.069763,-0.117649,0.236037
-0.062618,-0.115906,0.239684
-0.063758,-0.108461,0.238792
-0.060053,-0.103338,0.240079
-0.055949,-0.102517,0.243773
-0.050512,-0.09786,0.244492
-0.048772,-0.094163,0.24584
-0.04802,-0.090608,0.248247
-0.040303,-0.086738,0.25424
-0.036755,-0.082518,0.253467
-0.031443,-0.078189,0.255857
-0.026332,-0.075257,0.25695
-0.022931,-0.072907,0.261875
-0.01585,-0.072247,0.262483
-0.007996,-0.069126,0.265516
-0.004436,-0.067018,0.270302
-0.001378,-0.066602,0.267423
0.008673,-0.070867,0.27621
0.012637,-0.064506,0.276024
0.024854,-0.066704,0.276699
0.026128,-0.068018,0.282536
0.035589,-0.067814,0.286833
0.044362,-0.073683,0.288633
0.047681,-0.06942,0.291675
0.052012,-0.074424,0.291433
0.059084,-0.077532,0.291542
0.061879,-0.08041,0.296348
0.074216,-0.068514,0.298587
0.092866,-0.066976,0.29883
0.090883,-0.082643,0.301015
0.078059,-0.091618,0.303666
0.084911,-0.084804,0.306963
0.092307,-0.079486,0.307503
0.101889,-0.076279,0.308276
0.105309,-0.08011,0.313675
0.105067,-0.073786,0.318017
0.111786,-0.070448,0.320487
0.119948,-0.066791,0.320531
0.119127,-0.069092,0.325953
0.110544,-0.070073,0.323235
0.110383,-0.067404,0.325608
0.118531,-0.070535,0.326703
0.12007,-0.067109,0.330355
0.110502,-0.067538,0.327586
0.112272,-0.067092,0.331412
0.114994,-0.066826,0.330263
0.115468,-0.063369,0.330511
0.109058,-0.067323,0.33102
0.103981,-0.068164,0.328027
0.102182,-0.067662,0.328285
0.098758,-0.06717,0.327726
0.099542,-0.071262,0.327367
0.091847,-0.073624,0.325824
0.085942,-0.073949,0.327516
0.085918,-0.074334,0.326514
0.082793,-0.084409,0.327619
0.079332,-0.080812,0.327455
0.078226,-0.075798,0.327606
0.077485,-0.085662,0.325153
0.074276,-0.089389,0.328114
0.072586,-0.08703,0.331043
0.069623,-0.090371,0.330164
0.070239,-0.087625,0.332996
0.06802,-0.089769,0.332951
0.065314,-0.091684,0.336651
0.06068,-0.092772,0.337613
0.05819,-0.091076,0.342978
0.061237,-0.088905,0.343577
0.058234,-0.091203,0.345477
0.052854,-0.087321,0.347438
0.048966,-0.085738,0.35428
0.047865,-0.091517,0.359184
0.045042,-0.088556,0.36081
0.041991,-0.084962,0.362513
0.033925,-0.081918,0.370014
0.033717,-0.079526,0.374065
0.038449,-0.077678,0.380491
0.030854,-0.075854,0.38392
0.027298,-0.078094,0.387291
0.027958,-0.077434,0.389063
0.026406,-0.07692,0.392257
0.022689,-0.081344,0.399534
0.017247,-0.082029,0.401143
0.017198,-0.08363,0.405388
0.015939,-0.080232,0.407856
0.013741,-0.0828,0.41463
0.013346,-0.077675,0.419713
0.011121,-0.075619,0.422352
0.015504,-0.07991,0.428883
0.011929,-0.07683,0.430303
0.012169,-0.072935,0.426858
0.011159,-0.07603,0.435352
0.007733,-0.072281,0.439113
0.011245,-0.071847,0.439853
0.011418,-0.065625,0.439405
0.011355,-0.067173,0.44447
0.003826,-0.060701,0.44475
0.006936,-0.058971,0.448205
0.011425,-0.053042,0.448262
0.010736,-0.054728,0.453643
0.012373,-0.050332,0.453942
0.007869,-0.049402,0.457735
0.006669,-0.040759,0.459021
0.008491,-0.037628,0.46251
0.008778,-0.033955,0.460651
0.005131,-0.033467,0.464109
0.005182,-0.028722,0.467087
0.009499,-0.026324,0.471637
0.00835,-0.022963,0.475764
0.006866,-0.019538,0.476977
0.007237,-0.015591,0.478793
0.00853,-0.015572,0.478948
0.010382,-0.011642,0.48397
0.008058,-0.011924,0.48637
0.008639,-0.007708,0.488859
0.006448,-0.006935,0.492064
0.003807,-0.003602,0.491878
0.003866,-0.008531,0.496217
0.003279,-0.000367,0.491729
-0.003599,-0.004767,0.496713
-0.002305,-0.000855,0.496528
-0.003365,-0.001258,0.497936
-0.006577,0.000875,0.49919
-0.007062,-0.001201,0.496625
-0.006214,-0.003722,0.4965
-0.009833,-0.004263,0.490116
-0.008728,-0.001672,0.491997
-0.013173,-0.002964,0.490832
-0.018129,-0.005879,0.490869
-0.01225,-0.003362,0.491034
-0.013307,-0.007907,0.486755
-0.017127,-0.009893,0.487446
-0.019602,-0.010963,0.483634
-0.019959,-0.014615,0.478634
-0.018501,-0.014235,0.480182
-0.020447,-0.020701,0.479632
-0.022247,-0.018284,0.475045
-0.023028,-0.024244,0.47501
-0.021757,-0.024876,0.473791
-0.021446,-0.024107,0.466444
-0.022408,-0.031492,0.466158
-0.023021,-0.031917,0.461138
-0.023165,-0.034441,0.4586
-0.022341,-0.041562,0.460907
-0.023477,-0.042167,0.457002
-0.025758,-0.04268,0.453591
-0.023934,-0.041044,0.450986
-0.023873,-0.043827,0.44914
-0.023285,-0.044329,0.448511
-0.024511,-0.046431,0.443176
-0.027062,-0.045502,0.441525
-0.02818,-0.044213,0.436888
-0.026178,-0.042368,0.436728
-0.032516,-0.041644,0.436493
-0.030784,-0.043072,0.434097
-0.03709,-0.043139,0.427348
-0.035061,-0.037332,0.421105
-0.035477,-0.039141,0.421383
-0.0347,-0.037453,0.422467
-0.03542,-0.031517,0.415657
-0.036579,-0.031583,0.412691
-0.031933,-0.033842,0.407656
-0.036043,-0.029987,0.404456
-0.037326,-0.027806,0.398818
-0.040719,-0.025594,0.399514
-0.038061,-0.023742,0.395639
-0.038205,-0.021061,0.390805
