SampleTimeFine
13389758
13389783
13389808
13389833
13389858
13389883
13389908
13389933
13389958
13389983
13390008
13390033
13390058
13390083
13390108
13390133
13390158
13390183
13390208
13390233
13390258
13390283
13390308
13390333
13390358
13390383
13390408
13390433
13390458
13390483
13390508
13390533
13390558
13390583
13390608
13390633
13390658
13390683
13390708
13390733
13390758
13390783
13390808
13390833
13390858
13390883
13390908
13390933
13390958
13390983
13391008
13391033
13391058
13391083
13391108
13391133
13391158
13391183
13391208
13391233
13391258
13391283
13391308
13391333
13391358
13391383
13391408
13391433
13391458
13391483
13391508
13391533
13391558
13391583
13391608
13391633
13391658
13391683
13391708
13391733
13391758
13391783
13391808
13391833
13391858
13391883
13391908
13391933
13391958
13391983
13392008
13392033
13392058
13392083
13392108
13392133
13392158
13392183
13392208
13392233
13392258
13392283
13392308
13392333
13392358
13392383
13392408
13392433
13392458
13392483
13392508
13392533
13392558
13392583
13392608
13392633
13392658
13392683
13392708
13392733
13392758
13392783
13392808
13392833
13392858
13392883
13392908
13392933
13392958
13392983
13393008
13393033
13393058
13393083
13393108
13393133
13393158
13393183
13393208
13393233
13393258
13393283
13393308
13393333
13393358
13393383
13393408
13393433
13393458
13393483
13393508
13393533
13393558
13393583
13393608
13393633
13393658
13393683
13393708
13393733
13393758
13393783
13393808
13393833
13393858
13393883
13393908
13393933
13393958
13393983
13394008
13394033
13394058
13394083
13394108
13394133
13394158
13394183
13394208
13394233
13394258
13394283
13394308
13394333
13394358
13394383
13394408
13394433
13394458
13394483
13394508
13394533
13394558
13394583
13394608
13394633
13394658
13394683
13394708
13394733
13394758
13394783
13394808
13394833
13394858
13394883
13394908
13394933
13394958
13394983
13395008
13395033
13395058
13395083
13395108
13395133
13395158
13395183
13395208
13395233
13395258
13395283
13395308
13395333
13395358
13395383
13395408
13395433
13395458
13395483
13395508
13395533
13395558
13395583
13395608
13395633
13395658
13395683
13395708
13395733
13395758
13395783
13395808
13395833
13395858
13395883
13395908
13395933
13395958
13395983
13396008
13396033
13396058
13396083
13396108
13396133
13396158
13396183
13396208
13396233
13396258
13396283
13396308
13396333
13396358
13396383
13396408
13396433
13396458
13396483
13396508
13396533
13396558
13396583
13396608
13396633
13396658
13396683
13396708
13396733
13396758
13396783
13396808
13396833
13396858
13396883
13396908
13396933
13396958
13396983
13397008
13397033
13397058
13397083
13397108
13397133
13397158
13397183
13397208
13397233
13397258
13397283
13397308
13397333
13397358
13397383
13397408
13397433
13397458
13397483
13397508
13397533
13397558
13397583
13397608
13397633
13397658
13397683
13397708
13397733
13397758
13397783
13397808
13397833
13397858
13397883
13397908
13397933
13397958
13397983
13398008
13398033
13398058
13398083
13398108
13398133
13398158
13398183
13398208
13398233
13398258
13398283
13398308
13398333
13398358
13398383
13398408
13398433
13398458
13398483
13398508
13398533
13398558
13398583
13398608
13398633
13398658
13398683
13398708
13398733
13398758
13398783
13398808
13398833
13398858
13398883
13398908
13398933
13398958
13398983
13399008
13399033
13399058
13399083
13399108
13399133
13399158
13399183
13399208
13399233
13399258
13399283
13399308
13399333
13399358
13399383
13399408
13399433
13399458
13399483
13399508
13399533
13399558
13399583
13399608
13399633
13399658
13399683
13399708
13399733
13399758
13399783
13399808
13399833
13399858
13399883
13399908
13399933
13399958
13399983
13400008
13400033
13400058
13400083
13400108
13400133
13400158
13400183
13400208
13400233
13400258
13400283
13400308
13400333
13400358
13400383
13400408
13400433
13400458
13400483
13400508
13400533
13400558
13400583
13400608
13400633
13400658
13400683
13400708
13400733
13400758
13400783
13400808
13400833
13400858
13400883
13400908
13400933
13400958
13400983
13401008
13401033
13401058
13401083
13401108
13401133
13401158
13401183
13401208
13401233
13401258
13401283
13401308
13401333
13401358
13401383
13401408
13401433
13401458
13401483
13401508
13401533
13401558
13401583
13401608
13401633
13401658
13401683
13401708
13401733
13401758
13401783
13401808
13401833
13401858
13401883
13401908
13401933
13401958
13401983
13402008
13402033
13402058
13402083
13402108
13402133
13402158
13402183
13402208
13402233
13402258
13402283
13402308
13402333
13402358
13402383
13402408
13402433
13402458
13402483
13402508
13402533
13402558
13402583
13402608
13402633
13402658
13402683
13402708
13402733
13402758
13402783
13402808
13402833
13402858
13402883
13402908
13402933
13402958
13402983
13403008
13403033
13403058
13403083
13403108
13403133
13403158
13403183
13403208
13403233
13403258
13403283
13403308
13403333
13403358
13403383
13403408
13403433
13403458
13403483
13403508
13403533
13403558
13403583
13403608
13403633
13403658
13403683
13403708
13403733
13403758
13403783
13403808
13403833
13403858
13403883
13403908
13403933
13403958
13403983
13404008
13404033
13404058
13404083
13404108
13404133
13404158
13404183
13404208
13404233
13404258
13404283
13404308
13404333
13404358
13404383
13404408
13404433
13404458
13404483
13404508
13404533
13404558
13404583
13404608
13404633
13404658
13404683
13404708
13404733
13404758
13404783
13404808
13404833
13404858
13404883
13404908
13404933
13404958
13404983
13405008
13405033
13405058
13405083
13405108
13405133
13405158
13405183
13405208
13405233
13405258
13405283
13405308
13405333
13405358
13405383
13405408
