Longitude,Latitude,Height,VelocityN,VelocityE,VelocityD
116.3199766,40.0086121,41454.0,2.0,44.0,2.0
116.319977,40.0086123,41412.0,59.0,66.0,18.0
116.3199777,40.0086124,41421.0,32.0,161.0,12.0
116.3199787,40.0086127,41444.0,122.0,227.0,10.0
116.3199798,40.0086127,41391.0,8.0,301.0,24.0
116.3199812,40.0086123,41367.0,-152.0,396.0,15.0
116.3199831,40.0086116,41354.0,-297.0,593.0,17.0
116.3199848,40.0086113,41400.0,-194.0,523.0,-8.0
116.3199875,40.0086107,41391.0,-229.0,802.0,30.0
116.3199894,40.0086105,41431.0,-147.0,672.0,14.0
116.3199913,40.0086101,41476.0,-140.0,604.0,39.0
116.3199936,40.008609,41527.0,-393.0,699.0,31.0
116.3199954,40.0086083,41560.0,-370.0,641.0,9.0
116.319998,40.0086073,41763.0,-371.0,751.0,-26.0
116.3200005,40.0086065,41756.0,-379.0,807.0,-21.0
116.3200027,40.0086052,41763.0,-513.0,684.0,11.0
116.3200055,40.0086036,41760.0,-654.0,857.0,24.0
116.320007,40.0086025,41781.0,-596.0,590.0,-6.0
116.3200093,40.0086014,41837.0,-513.0,683.0,16.0
116.3200115,40.0085999,41859.0,-593.0,679.0,20.0
116.320013,40.0085985,41812.0,-606.0,515.0,63.0
116.3200154,40.0085963,41844.0,-925.0,731.0,22.0
116.3200171,40.0085945,41829.0,-832.0,594.0,42.0
116.3200189,40.0085925,41877.0,-899.0,576.0,22.0
116.3200208,40.0085908,41921.0,-831.0,599.0,0.0
116.3200231,40.0085886,41899.0,-970.0,667.0,37.0
116.3200248,40.0085871,41958.0,-797.0,635.0,-18.0
116.3200277,40.0085848,41853.0,-929.0,889.0,29.0
116.3200298,40.0085831,41771.0,-887.0,749.0,5.0
116.3200318,40.0085808,41684.0,-1025.0,586.0,46.0
116.3200336,40.0085785,41741.0,-1135.0,567.0,-26.0
116.3200357,40.0085766,41600.0,-983.0,622.0,9.0
116.3200383,40.0085741,41681.0,-1126.0,797.0,-49.0
116.3200405,40.008572,41583.0,-1027.0,676.0,-5.0
116.3200424,40.0085697,41466.0,-1112.0,615.0,-2.0
116.3200441,40.0085681,41316.0,-891.0,546.0,5.0
116.3200463,40.0085661,41188.0,-991.0,662.0,17.0
116.3200475,40.0085641,41071.0,-1001.0,432.0,4.0
116.3200488,40.0085616,40841.0,-1094.0,395.0,70.0
116.3200496,40.0085603,40816.0,-856.0,273.0,-16.0
116.3200507,40.0085585,40580.0,-858.0,314.0,43.0
116.320052,40.008556,40523.0,-1103.0,341.0,-25.0
116.3200527,40.0085539,40450.0,-999.0,257.0,-1.0
116.3200534,40.0085513,40356.0,-1166.0,203.0,-8.0
116.320054,40.0085494,40301.0,-908.0,223.0,-17.0
116.3200545,40.0085467,40233.0,-1156.0,148.0,-13.0
116.3200546,40.0085445,40211.0,-1009.0,3.0,-18.0
116.3200548,40.008542,40131.0,-1137.0,-24.0,2.0
116.3200549,40.0085394,40028.0,-1168.0,-53.0,-48.0
116.3200552,40.0085368,39972.0,-1176.0,24.0,-38.0
116.3200555,40.0085343,40029.0,-1125.0,-14.0,-108.0
116.320055,40.0085318,39978.0,-1088.0,-155.0,-59.0
116.3200545,40.0085293,39958.0,-1113.0,-259.0,-92.0
116.3200543,40.0085267,39799.0,-1138.0,-126.0,-56.0
116.3200543,40.0085237,39688.0,-1259.0,-66.0,-53.0
116.3200545,40.0085213,39638.0,-1058.0,-19.0,-65.0
116.3200543,40.0085185,39509.0,-1221.0,-98.0,-36.0
116.3200552,40.008516,39429.0,-1142.0,214.0,-55.0
116.3200567,40.0085136,39406.0,-1170.0,410.0,-54.0
116.3200583,40.0085112,39306.0,-1052.0,526.0,-46.0
116.3200606,40.008509,39314.0,-921.0,641.0,-27.0
116.3200631,40.0085072,39406.0,-906.0,732.0,-101.0
116.320066,40.0085055,39316.0,-793.0,950.0,-40.0
116.3200696,40.0085041,39325.0,-674.0,1172.0,-72.0
116.320073,40.0085028,39249.0,-636.0,1113.0,-24.0
116.3200767,40.0085016,39194.0,-506.0,1219.0,-35.0
116.3200802,40.0085015,39145.0,-221.0,1141.0,-18.0
116.3200846,40.008501,39149.0,-183.0,1330.0,-36.0
116.3200883,40.0085006,39101.0,-219.0,1193.0,-14.0
116.3200928,40.0085003,39038.0,-169.0,1436.0,5.0
116.3200962,40.0084998,38991.0,-180.0,1141.0,-23.0
116.3201003,40.0085005,38929.0,107.0,1319.0,3.0
116.3201041,40.0085002,38961.0,-48.0,1183.0,-22.0
116.3201082,40.0085003,38912.0,-42.0,1321.0,10.0
116.3201124,40.0085002,38899.0,61.0,1325.0,-6.0
116.3201164,40.0085005,38878.0,78.0,1288.0,17.0
116.3201203,40.0085003,38936.0,24.0,1207.0,-16.0
116.3201247,40.0084995,38932.0,-200.0,1346.0,0.0
116.3201287,40.0084996,38985.0,42.0,1247.0,-42.0
116.3201328,40.0085002,38932.0,122.0,1336.0,-6.0
116.3201366,40.0085008,38923.0,328.0,1234.0,-23.0
116.3201405,40.0085005,38767.0,19.0,1333.0,51.0
116.3201446,40.0085001,38740.0,-3.0,1315.0,36.0
116.3201486,40.0085007,38739.0,134.0,1293.0,42.0
116.3201529,40.0085012,38773.0,262.0,1381.0,22.0
116.3201567,40.0085013,38787.0,123.0,1211.0,24.0
116.3201608,40.0085017,38715.0,204.0,1363.0,49.0
116.3201643,40.0085017,38637.0,116.0,1173.0,56.0
116.3201687,40.0085031,38685.0,418.0,1360.0,51.0
116.3201722,40.008503,38687.0,104.0,1148.0,51.0
116.3201765,40.008503,38716.0,-64.0,1364.0,59.0
116.3201798,40.0085035,38549.0,217.0,1185.0,81.0
116.320184,40.0085038,38602.0,122.0,1318.0,67.0
116.3201878,40.0085043,38601.0,215.0,1247.0,49.0
116.3201917,40.0085049,38535.0,187.0,1278.0,89.0
116.3201957,40.0085046,38638.0,22.0,1241.0,26.0
116.3201997,40.0085056,38577.0,202.0,1326.0,83.0
116.3202034,40.0085056,38548.0,144.0,1243.0,63.0
116.3202072,40.0085069,38506.0,340.0,1284.0,99.0
116.3202113,40.0085069,38569.0,139.0,1277.0,58.0
116.3202149,40.008507,38584.0,65.0,1180.0,51.0
116.3202189,40.0085083,38691.0,391.0,1227.0,23.0
116.3202223,40.0085085,38549.0,201.0,1171.0,80.0
116.3202264,40.0085095,38595.0,348.0,1249.0,73.0
116.3202296,40.0085109,38683.0,469.0,1044.0,59.0
116.3202334,40.0085123,38683.0,567.0,1210.0,61.0
116.3202367,40.0085133,38777.0,421.0,1045.0,41.0
116.3202406,40.0085146,38769.0,493.0,1234.0,58.0
116.3202434,40.0085157,38813.0,527.0,930.0,30.0
116.3202465,40.0085175,38721.0,702.0,1019.0,77.0
116.3202494,40.0085193,38737.0,771.0,926.0,54.0
116.3202523,40.0085211,38621.0,717.0,984.0,113.0
116.3202547,40.0085225,38545.0,738.0,795.0,85.0
