Acc_X,Acc_Y,Acc_Z
0.173723,-0.166306,9.874084
0.159665,-0.144963,9.871677
0.183107,-0.111169,9.856822
0.181187,-0.169036,9.860877
0.194794,-0.126625,9.883479
0.214412,-0.118662,9.891608
0.186024,-0.087619,9.894658
0.221339,-0.094089,9.876302
0.22953,-0.1179,9.907871
0.195776,-0.105107,9.926753
0.171098,-0.096558,9.910565
0.126555,-0.02728,9.937622
0.133582,-0.061067,9.905008
0.124401,-0.088561,9.868531
0.082162,-0.049002,9.875515
0.081715,-0.067895,9.88181
0.026701,-0.044555,9.878065
0.038704,-0.092677,9.860425
0.028723,-0.098072,9.846382
-4.2e-05,-0.056539,9.834077
-0.009236,-0.087472,9.814956
-0.020524,-0.117611,9.759286
0.073991,-0.181873,9.805877
-0.079519,-0.138826,9.897042
0.001688,-0.124709,9.673717
0.139263,-0.237877,9.725868
0.03109,-0.162565,9.854298
0.055502,-0.162334,9.782392
0.02431,-0.121363,9.758166
0.111774,-0.120462,9.757809
0.15585,-0.289617,9.703453
0.074698,-0.237434,9.766418
0.092369,-0.173468,9.756285
0.058844,-0.185827,9.708932
0.091016,-0.196469,9.703639
0.088329,-0.189904,9.663061
0.09085,-0.169319,9.673528
0.096312,-0.177633,9.747199
0.076686,-0.196531,9.764268
0.086542,-0.207804,9.752895
0.116529,-0.183754,9.786084
0.106846,-0.159335,9.763338
0.114751,-0.188622,9.771682
0.121695,-0.185023,9.799601
0.110829,-0.191793,9.781695
0.115346,-0.228286,9.776187
0.120619,-0.149006,9.756019
0.11298,-0.17164,9.710123
0.135747,-0.183093,9.693315
0.122815,-0.148406,9.708097
0.079088,-0.130649,9.700085
0.113097,-0.110326,9.66232
0.144395,-0.114774,9.673266
0.144829,-0.140231,9.702806
0.134297,-0.153063,9.71289
0.148598,-0.100169,9.761863
0.12694,-0.127052,9.74646
0.143506,-0.164359,9.762005
0.150602,-0.147465,9.778052
0.197984,-0.168159,9.791621
0.182485,-0.161627,9.809215
0.216807,-0.173763,9.835658
0.154291,-0.223542,9.872371
0.195782,-0.122166,9.849151
0.242956,-0.182738,9.790814
0.332516,-0.157781,9.950273
0.170165,-0.263017,9.97325
0.093036,-0.089788,9.944324
0.200201,-0.109935,9.84617
0.265809,-0.251799,9.899912
0.286042,-0.238532,9.988869
0.241944,-0.120509,10.015212
0.17863,-0.204649,9.975655
0.24507,-0.206756,9.925803
0.27584,-0.235491,9.861052
0.232516,-0.19353,9.856878
0.200134,-0.149241,9.845908
0.176243,-0.175527,9.81031
